timestamp,a0x,a0y,a0z,g0x,g0y,g0z,a1x,a1y,a1z,g1x,g1y,g1z,a2x,a2y,a2z,g2x,g2y,g2z,a3x,a3y,a3z,g3x,g3y,g3z,a4x,a4y,a4z,g4x,g4y,g4z,a5x,a5y,a5z,g5x,g5y,g5z
0,-0.81,8.23,-4.59,0.24,-0.22,0.11,-1.46,-8.59,0.56,0.09,-0.24,-0.04,3.22,7.88,4.80,0.13,0.09,0.19,1.27,7.69,5.49,0.09,0.08,0.19,0.70,4.78,9.21,0.11,0.02,0.22,4.66,6.69,5.21,0.20,0.04,0.17
21,-1.10,8.51,-4.84,0.20,-0.05,0.05,-1.41,-8.96,0.40,0.01,-0.32,0.05,3.39,8.30,4.92,0.21,0.10,0.11,1.26,8.11,5.67,0.18,0.12,0.13,0.62,5.21,9.57,0.16,0.07,0.17,4.91,7.15,5.30,0.23,0.04,0.07
41,-0.80,8.81,-4.81,0.16,0.01,-0.07,-1.74,-9.28,0.23,-0.06,-0.28,0.10,3.52,8.82,4.84,0.26,0.13,0.05,1.30,8.73,5.54,0.23,0.16,0.10,0.62,5.82,9.62,0.16,0.15,0.16,4.95,7.52,5.33,0.24,0.11,0.05
60,-0.94,8.93,-4.93,0.10,0.09,-0.20,-1.91,-9.38,-0.14,-0.13,-0.26,0.05,3.35,9.12,4.62,0.22,0.21,0.03,1.00,9.03,5.32,0.16,0.24,0.08,0.15,6.00,9.59,0.12,0.22,0.15,4.72,7.85,5.09,0.24,0.17,0.03
81,-1.16,8.95,-5.32,0.01,0.33,-0.21,-2.50,-9.31,-0.39,-0.17,-0.26,0.04,2.89,9.39,4.36,0.20,0.24,0.00,0.61,9.27,5.05,0.15,0.27,0.07,-0.31,6.37,9.49,0.11,0.23,0.19,4.34,8.13,4.59,0.19,0.15,0.03
100,-0.76,8.49,-5.89,-0.08,0.45,-0.16,-2.57,-9.29,-0.78,-0.10,-0.25,0.05,2.61,9.55,3.69,0.20,0.18,0.05,0.33,9.46,4.56,0.14,0.16,0.11,-0.51,6.58,9.20,0.11,0.12,0.15,4.49,8.49,3.94,0.15,0.02,0.06
120,-0.64,8.03,-6.05,-0.15,0.41,-0.07,-3.03,-9.08,-0.45,0.00,-0.18,0.10,2.95,9.55,3.22,0.12,0.04,0.07,0.97,9.54,4.02,0.10,0.03,0.10,0.09,7.14,8.51,0.07,0.03,0.14,4.81,7.89,3.83,0.06,0.01,0.15
140,-0.90,7.75,-5.50,-0.17,0.28,-0.08,-3.57,-8.71,0.14,0.06,-0.10,-0.03,3.30,9.07,3.11,-0.00,0.14,0.15,1.44,9.30,3.88,-0.07,0.14,0.19,0.45,6.96,8.28,-0.11,0.08,0.24,4.90,7.39,3.97,-0.03,0.22,0.24
160,-1.04,7.96,-4.99,-0.14,0.38,-0.10,-2.93,-8.47,0.47,0.05,-0.17,-0.30,3.23,8.49,3.62,-0.15,0.30,0.24,1.31,8.37,4.41,-0.27,0.31,0.25,0.51,5.77,8.44,-0.22,0.16,0.34,4.47,6.70,4.53,-0.07,0.41,0.30
179,-0.96,7.95,-4.81,-0.09,0.48,-0.14,-1.83,-8.35,0.48,0.03,-0.26,-0.39,2.96,7.66,4.38,-0.14,0.39,0.25,0.91,7.35,5.15,-0.24,0.38,0.28,0.33,4.38,8.82,-0.18,0.21,0.37,4.16,6.41,4.78,0.04,0.39,0.27
