timestamp,a0x,a0y,a0z,g0x,g0y,g0z,a1x,a1y,a1z,g1x,g1y,g1z,a2x,a2y,a2z,g2x,g2y,g2z,a3x,a3y,a3z,g3x,g3y,g3z,a4x,a4y,a4z,g4x,g4y,g4z,a5x,a5y,a5z,g5x,g5y,g5z
0,9.71,0.60,-2.86,0.04,0.00,0.02,-3.12,-9.06,2.05,0.02,-0.04,0.04,-2.15,8.78,4.48,-0.04,-0.00,0.04,-0.62,9.72,0.22,0.04,0.04,0.04,1.63,9.56,-0.48,0.14,0.07,0.02,3.74,8.89,1.85,0.05,0.01,0.03
20,9.53,0.50,-2.66,0.03,0.01,0.01,-2.98,-8.97,2.20,0.00,-0.03,0.03,-1.93,8.69,4.50,-0.06,0.01,0.01,-0.42,9.61,0.33,0.02,0.05,-0.00,1.74,9.43,-0.31,0.13,0.06,-0.02,3.84,8.67,1.96,0.04,0.02,-0.02
40,9.48,0.32,-2.53,-0.01,0.06,-0.07,-2.70,-8.80,2.35,-0.06,-0.01,0.04,-1.72,8.38,4.64,-0.06,0.04,-0.06,-0.30,9.38,0.51,0.03,0.05,-0.09,1.81,9.23,-0.14,0.17,0.03,-0.09,3.85,8.51,2.04,0.07,0.01,-0.10
60,9.70,0.32,-2.63,-0.04,-0.02,-0.13,-2.73,-8.89,2.33,-0.11,-0.02,0.10,-1.80,8.38,4.69,-0.00,0.07,-0.10,-0.39,9.39,0.51,0.10,0.06,-0.13,1.74,9.26,-0.16,0.25,0.02,-0.12,3.76,8.57,2.03,0.14,0.00,-0.11
80,9.91,0.53,-2.87,0.00,-0.16,-0.13,-3.08,-9.14,2.06,-0.10,-0.07,0.17,-2.18,8.75,4.56,0.06,0.09,-0.06,-0.69,9.71,0.25,0.15,0.08,-0.10,1.58,9.62,-0.53,0.30,0.06,-0.10,3.69,9.05,1.77,0.19,0.01,-0.07
100,10.04,0.70,-3.19,0.07,-0.25,-0.08,-3.51,-9.31,1.86,-0.07,-0.11,0.20,-2.49,9.20,4.35,0.08,0.09,-0.01,-0.93,10.12,-0.14,0.17,0.08,-0.06,1.50,10.02,-1.01,0.30,0.09,-0.08,3.71,9.59,1.44,0.18,0.02,-0.05
120,10.04,0.75,-3.49,0.07,-0.28,-0.06,-3.88,-9.36,1.78,-0.06,-0.10,0.16,-2.68,9.60,4.07,0.05,0.06,-0.01,-1.08,10.45,-0.52,0.11,0.05,-0.07,1.45,10.32,-1.38,0.23,0.09,-0.11,3.70,9.91,1.21,0.10,0.05,-0.07
140,9.98,0.89,-3.78,0.04,-0.18,-0.07,-4.23,-9.44,1.66,-0.09,-0.05,0.07,-2.91,9.86,3.87,-0.05,0.02,-0.03,-1.24,10.60,-0.75,0.01,0.02,-0.08,1.34,10.43,-1.60,0.11,0.12,-0.13,3.63,10.04,1.06,-0.01,0.09,-0.08
161,9.94,0.95,-3.87,0.02,-0.06,-0.07,-4.35,-9.43,1.63,-0.08,-0.01,-0.05,-2.89,9.81,3.84,-0.15,-0.02,-0.03,-1.20,10.48,-0.70,-0.10,0.01,-0.06,1.35,10.26,-1.50,-0.01,0.13,-0.13,3.62,9.81,1.13,-0.12,0.13,-0.08
181,9.87,0.86,-3.76,-0.02,0.02,-0.07,-4.03,-9.23,1.79,-0.09,0.00,-0.14,-2.63,9.44,3.97,-0.22,-0.04,-0.03,-1.00,10.19,-0.48,-0.17,-0.01,-0.06,1.45,10.00,-1.25,-0.08,0.12,-0.15,3.67,9.50,1.30,-0.20,0.14,-0.11
201,9.65,0.75,-3.46,-0.06,0.06,-0.10,-3.68,-9.03,1.94,-0.12,0.03,-0.19,-2.39,9.13,4.10,-0.28,-0.06,-0.07,-0.84,9.91,-0.20,-0.23,-0.01,-0.09,1.46,9.69,-0.89,-0.13,0.12,-0.19,3.56,9.07,1.61,-0.24,0.17,-0.13
222,9.53,0.88,-3.17,-0.07,0.11,-0.12,-3.45,-8.98,1.84,-0.15,0.02,-0.23,-2.46,8.83,4.26,-0.33,-0.04,-0.06,-0.96,9.67,0.10,-0.26,0.03,-0.08,1.23,9.47,-0.56,-0.15,0.17,-0.17,3.27,8.84,1.84,-0.24,0.21,-0.09
242,9.51,1.23,-2.88,-0.00,0.20,-0.09,-3.25,-8.94,1.58,-0.12,-0.02,-0.26,-2.76,8.69,4.36,-0.36,-0.01,0.01,-1.27,9.56,0.30,-0.27,0.11,0.00,0.80,9.27,-0.27,-0.14,0.26,-0.06,2.78,8.67,2.06,-0.18,0.27,0.05
262,9.64,1.52,-2.90,0.19,0.35,-0.00,-3.18,-8.98,1.06,-0.03,-0.14,-0.31,-3.14,8.32,4.67,-0.36,0.04,0.17,-1.68,9.42,0.58,-0.25,0.17,0.12,0.43,9.53,-0.25,-0.11,0.31,0.04,2.61,9.11,2.09,-0.15,0.25,0.12
283,9.67,1.34,-2.39,0.20,0.31,0.05,-2.35,-8.73,0.93,0.00,-0.10,-0.25,-3.06,7.89,5.02,-0.30,-0.02,0.12,-1.70,9.31,0.87,-0.19,0.07,0.07,0.41,9.58,-0.11,-0.07,0.15,-0.02,2.64,9.11,2.20,-0.16,0.11,0.01
