timestamp,a0x,a0y,a0z,g0x,g0y,g0z,a1x,a1y,a1z,g1x,g1y,g1z,a2x,a2y,a2z,g2x,g2y,g2z,a3x,a3y,a3z,g3x,g3y,g3z,a4x,a4y,a4z,g4x,g4y,g4z,a5x,a5y,a5z,g5x,g5y,g5z
0,-1.07,8.39,-4.76,0.13,-0.27,-0.01,0.80,-8.57,-1.57,0.19,0.08,0.21,0.98,8.24,5.51,-0.06,-0.21,-0.14,-1.80,7.12,6.70,0.06,-0.22,-0.40,-2.37,3.31,9.91,0.04,-0.14,-0.95,2.66,7.24,5.63,-0.14,-0.25,-0.10
20,-0.78,8.44,-4.21,0.14,-0.28,0.10,-0.64,-8.82,-1.03,0.30,0.25,0.49,1.53,8.53,5.46,-0.16,-0.36,-0.01,-1.06,7.59,6.54,-0.11,-0.50,-0.46,-1.58,4.02,10.09,-0.23,-0.02,-1.09,3.27,7.12,5.57,-0.36,-0.32,0.07
40,-0.78,8.61,-4.18,0.14,0.05,0.12,-1.30,-8.77,-0.31,0.30,0.07,0.42,2.01,8.01,5.32,-0.28,-0.32,0.12,-0.28,13.70,7.54,0.16,-0.82,0.47,-4.73,0.96,6.69,0.68,-1.84,-0.53,5.05,7.17,5.94,-0.35,-0.34,0.26
60,-0.77,8.59,-4.58,0.13,0.15,0.14,-0.33,-10.30,-1.71,0.24,-0.15,0.24,2.56,6.96,5.81,-0.50,-0.50,0.11,0.79,5.55,6.09,-0.23,-0.46,0.03,-0.56,2.94,9.58,-0.25,-0.14,-0.53,4.77,5.65,5.63,-0.31,-0.38,0.24
80,-0.58,9.32,-4.87,0.08,0.24,0.19,-0.59,-8.87,0.61,0.25,-0.36,0.15,3.20,7.49,6.03,0.07,-0.18,0.17,0.80,8.78,7.30,0.01,-0.51,0.48,-1.43,-0.48,7.89,0.35,-0.66,1.10,5.21,7.18,6.56,-0.01,-0.37,0.11
100,-0.36,8.96,-4.98,0.02,0.30,0.11,0.83,-10.26,-0.67,0.06,-0.55,0.36,3.36,7.67,6.28,-0.12,-0.52,0.08,2.34,7.06,6.82,-0.03,-0.64,0.10,1.32,4.35,10.85,-0.12,0.00,-0.17,5.64,5.87,5.65,-0.05,-0.53,0.05
120,-0.56,9.24,-4.81,-0.02,0.10,0.03,-1.18,-9.21,0.33,0.01,-0.20,0.29,3.79,8.27,5.54,0.24,-0.06,-0.07,0.93,8.11,6.74,0.15,-0.11,-0.09,0.13,4.93,10.23,0.04,0.19,-0.09,5.14,7.90,5.83,0.12,-0.10,-0.15
140,-0.55,9.01,-4.28,-0.04,-0.15,-0.03,-0.83,-9.42,-0.16,-0.18,0.17,0.06,3.11,9.31,5.31,-0.07,-0.02,-0.16,0.02,8.24,6.85,-0.12,-0.02,-0.29,-0.86,4.38,10.44,-0.30,0.31,-0.37,4.14,7.48,5.87,-0.21,0.14,-0.25
160,-0.56,9.04,-4.58,-0.06,-0.32,-0.08,-0.82,-9.35,-0.53,-0.16,0.49,-0.05,2.41,8.48,5.84,-0.33,0.03,-0.32,-0.31,7.36,7.12,-0.30,-0.01,-0.42,-1.32,3.73,10.53,-0.24,0.27,-0.42,4.00,7.40,6.14,-0.35,0.11,-0.31
180,-0.98,9.05,-4.62,-0.09,-0.34,-0.07,-0.85,-9.35,-0.74,-0.10,0.55,-0.04,2.32,7.96,6.18,-0.33,-0.03,-0.29,-0.20,7.11,7.56,-0.24,-0.09,-0.36,-0.92,3.46,10.58,-0.22,0.36,-0.43,3.81,6.71,6.48,-0.31,0.05,-0.22
200,-0.68,8.71,-4.41,-0.10,-0.17,-0.09,-1.05,-9.25,-0.54,-0.01,0.26,0.12,2.28,7.84,6.39,-0.33,0.00,-0.21,-0.52,6.73,7.46,-0.23,-0.06,-0.33,-1.27,3.22,10.46,-0.34,0.33,-0.39,3.36,6.25,6.19,-0.33,-0.05,0.07
221,-1.11,8.65,-4.06,-0.11,0.12,-0.12,-0.81,-8.62,-0.30,0.09,-0.23,0.17,2.02,7.12,6.05,-0.24,-0.02,-0.02,-0.40,6.19,6.95,-0.20,-0.08,-0.24,-1.40,2.98,9.67,-0.32,0.29,-0.07,3.32,6.00,5.85,-0.19,-0.05,0.11
241,-0.85,8.51,-3.79,-0.09,0.23,-0.07,-0.81,-8.08,-0.08,0.04,-0.42,0.14,4.29,8.39,5.46,-0.09,0.27,0.55,1.36,12.31,7.92,0.06,0.21,1.73,-0.42,5.42,11.57,0.85,-0.56,0.40,3.63,7.79,5.82,-0.20,0.03,0.50
