timestamp,a0x,a0y,a0z,g0x,g0y,g0z,a1x,a1y,a1z,g1x,g1y,g1z,a2x,a2y,a2z,g2x,g2y,g2z,a3x,a3y,a3z,g3x,g3y,g3z,a4x,a4y,a4z,g4x,g4y,g4z,a5x,a5y,a5z,g5x,g5y,g5z
0,1.13,7.92,-6.07,0.06,-0.62,0.41,-2.18,-6.33,10.70,0.25,0.28,-0.29,0.39,-9.89,1.02,0.06,0.42,-0.13,0.52,-9.79,1.24,0.06,0.44,-0.13,1.44,-9.67,1.88,0.02,0.43,-0.14,2.02,-9.84,-0.45,0.01,0.43,-0.11
20,0.98,7.47,-5.94,0.04,-0.52,0.36,-2.68,-6.18,10.90,0.26,0.30,-0.19,0.13,-9.54,1.50,0.09,0.39,-0.13,0.33,-9.45,1.90,0.07,0.36,-0.14,1.45,-9.36,2.67,0.00,0.34,-0.15,2.07,-9.48,-0.04,-0.02,0.34,-0.16
40,1.57,7.36,-5.69,0.01,-0.40,0.27,-2.84,-5.86,10.98,0.19,0.12,-0.17,0.34,-9.29,1.94,0.03,0.24,-0.17,0.58,-9.18,2.30,0.01,0.19,-0.16,1.93,-9.06,2.84,-0.06,0.21,-0.16,2.55,-9.27,-0.12,-0.12,0.15,-0.14
61,1.47,7.22,-5.54,-0.03,-0.25,0.21,-2.64,-5.46,10.98,0.13,-0.02,-0.19,0.95,-9.20,1.69,-0.08,0.08,-0.13,1.12,-9.05,1.88,-0.08,0.09,-0.13,2.17,-8.86,2.14,-0.13,0.09,-0.08,2.55,-9.30,-0.31,-0.13,0.04,-0.03
81,1.21,7.23,-5.46,-0.06,-0.02,0.13,-2.26,-5.84,10.35,0.04,-0.08,-0.19,0.69,-9.16,1.11,-0.09,0.07,-0.04,0.76,-9.01,1.24,-0.08,0.05,-0.05,1.48,-8.92,1.67,-0.09,0.08,-0.03,1.89,-9.10,-0.51,-0.07,0.08,0.00
101,1.45,7.35,-5.42,-0.06,0.13,0.07,-1.89,-6.06,10.22,0.05,-0.02,-0.18,0.14,-8.99,0.98,-0.05,0.12,-0.05,0.29,-8.97,1.06,-0.06,0.11,-0.08,1.09,-9.03,1.58,-0.05,0.13,-0.08,1.63,-9.02,-0.83,-0.07,0.11,-0.07
122,1.63,7.43,-5.36,0.02,0.19,0.06,-1.87,-6.22,10.30,0.15,-0.02,-0.16,-0.08,-9.09,0.58,-0.04,0.11,-0.13,0.13,-9.14,0.77,-0.04,0.08,-0.15,1.03,-9.13,1.32,-0.00,0.04,-0.14,1.67,-9.20,-1.05,-0.06,0.01,-0.16
142,1.56,7.67,-5.45,0.12,0.21,0.06,-1.47,-6.14,10.52,0.13,-0.09,-0.03,0.17,-9.39,-0.16,0.05,-0.07,-0.18,0.53,-9.46,-0.06,0.08,-0.10,-0.17,1.32,-9.33,0.59,0.13,-0.09,-0.18,1.94,-9.56,-1.54,0.02,-0.08,-0.22
162,1.15,7.76,-5.76,0.23,0.33,0.03,-1.36,-6.34,10.33,0.11,-0.07,0.20,0.56,-9.71,-0.23,0.19,-0.15,-0.16,0.86,-9.70,-0.28,0.23,-0.16,-0.12,1.42,-9.61,0.27,0.27,-0.12,-0.15,1.75,-9.93,-1.63,0.24,-0.07,-0.19
183,1.02,7.81,-6.23,0.33,0.40,0.02,-1.60,-6.51,10.35,0.25,0.12,0.39,0.25,-9.98,0.09,0.44,-0.17,-0.12,0.50,-9.95,0.30,0.50,-0.17,-0.06,1.24,-9.83,0.99,0.50,-0.14,-0.15,2.03,-10.10,-0.40,0.47,-0.00,-0.24
203,1.01,7.83,-6.45,0.39,0.34,0.02,-2.73,-6.68,10.55,0.22,0.25,0.59,0.33,-10.02,1.55,0.57,-0.11,-0.09,0.47,-9.89,1.98,0.60,-0.11,-0.02,1.50,-9.89,2.79,0.55,-0.10,-0.14,2.04,-10.31,0.22,0.55,0.02,-0.22
