timestamp,a0x,a0y,a0z,g0x,g0y,g0z,a1x,a1y,a1z,g1x,g1y,g1z,a2x,a2y,a2z,g2x,g2y,g2z,a3x,a3y,a3z,g3x,g3y,g3z,a4x,a4y,a4z,g4x,g4y,g4z,a5x,a5y,a5z,g5x,g5y,g5z
0,9.26,-0.57,-3.07,0.19,-0.54,0.18,-4.56,-5.82,9.19,0.01,0.31,0.16,0.95,-9.34,1.84,0.06,0.02,-0.05,0.28,-9.43,0.48,0.10,0.19,-0.08,-0.70,-9.22,2.28,0.26,0.16,-0.12,-0.05,-9.25,2.25,0.11,0.06,-0.18
20,9.28,-0.60,-3.34,0.18,-0.67,0.24,-4.78,-5.81,9.10,-0.02,0.42,0.25,0.85,-9.38,1.92,0.12,0.02,-0.06,0.12,-9.49,0.54,0.16,0.22,-0.10,-0.82,-9.26,2.33,0.34,0.17,-0.14,0.04,-9.31,2.27,0.24,0.04,-0.23
40,9.29,-0.73,-3.69,0.16,-0.74,0.26,-5.32,-5.80,9.17,-0.03,0.44,0.34,0.93,-9.52,2.33,0.20,0.03,-0.11,0.25,-9.67,0.91,0.25,0.17,-0.14,-0.63,-9.42,2.79,0.42,0.11,-0.15,0.34,-9.48,2.76,0.33,-0.02,-0.23
60,9.25,-0.87,-4.03,0.15,-0.72,0.26,-5.84,-5.76,9.29,-0.02,0.36,0.38,1.40,-9.59,2.91,0.26,-0.01,-0.13,0.68,-9.85,1.54,0.31,0.08,-0.14,-0.38,-9.54,3.45,0.43,0.04,-0.13,0.64,-9.66,3.17,0.34,-0.07,-0.19
80,9.24,-1.10,-4.43,0.16,-0.65,0.22,-6.24,-5.71,9.35,-0.03,0.26,0.35,1.62,-9.75,3.39,0.26,-0.04,-0.10,0.85,-10.09,1.97,0.31,0.03,-0.12,-0.31,-9.74,3.88,0.40,-0.01,-0.09,0.75,-9.82,3.69,0.32,-0.10,-0.12
100,9.36,-1.25,-4.87,0.14,-0.51,0.12,-6.60,-5.75,9.33,-0.03,0.17,0.31,1.76,-9.90,3.80,0.23,-0.05,-0.06,0.94,-10.27,2.46,0.30,-0.01,-0.06,-0.32,-9.84,4.46,0.37,-0.03,-0.04,0.77,-9.88,4.37,0.28,-0.08,-0.05
120,9.21,-1.27,-5.16,0.05,-0.31,0.00,-6.99,-5.92,9.13,-0.02,0.12,0.20,1.68,-9.96,4.37,0.16,-0.00,-0.00,0.80,-10.37,3.00,0.25,-0.01,0.00,-0.51,-9.81,4.96,0.29,0.01,0.01,0.56,-9.83,4.87,0.15,-0.01,0.02
141,9.07,-1.04,-5.33,-0.12,0.03,-0.10,-7.22,-6.06,8.95,-0.00,0.05,0.02,1.42,-9.99,4.75,0.04,0.02,0.06,0.53,-10.38,3.32,0.14,-0.03,0.07,-0.79,-9.76,5.08,0.17,0.05,0.05,0.42,-9.82,4.85,-0.00,0.05,0.11
161,9.19,-0.80,-5.39,-0.26,0.29,-0.18,-7.15,-6.14,8.86,0.03,-0.01,-0.17,1.24,-9.98,4.55,-0.09,0.01,0.11,0.36,-10.31,3.03,0.04,-0.08,0.12,-0.90,-9.68,4.73,0.06,0.06,0.09,0.22,-9.72,4.54,-0.12,0.09,0.19
181,9.22,-0.64,-5.12,-0.34,0.48,-0.23,-6.89,-6.07,8.88,0.06,-0.08,-0.31,1.10,-9.89,4.19,-0.20,-0.01,0.14,0.29,-10.13,2.72,-0.01,-0.09,0.16,-0.94,-9.55,4.37,-0.05,0.06,0.10,0.08,-9.59,4.05,-0.22,0.08,0.20
201,9.17,-0.53,-4.81,-0.37,0.63,-0.23,-6.52,-5.92,8.96,0.03,-0.17,-0.38,0.95,-9.83,3.68,-0.27,-0.02,0.14,0.15,-9.99,2.15,-0.03,-0.10,0.15,-0.97,-9.47,3.78,-0.10,0.04,0.09,-0.02,-9.47,3.58,-0.26,0.05,0.19
221,9.19,-0.44,-4.53,-0.28,0.71,-0.22,-6.15,-5.89,8.97,-0.02,-0.25,-0.37,0.87,-9.73,3.25,-0.27,-0.07,0.11,0.09,-9.84,1.84,-0.05,-0.13,0.11,-1.00,-9.34,3.45,-0.12,0.04,0.06,-0.06,-9.33,3.16,-0.27,-0.03,0.18
242,9.15,-0.40,-4.18,-0.15,0.72,-0.19,-5.87,-5.89,8.93,-0.03,-0.30,-0.35,0.70,-9.55,3.17,-0.27,-0.14,0.07,-0.11,-9.62,1.73,-0.07,-0.18,0.05,-1.05,-9.18,3.15,-0.13,-0.04,0.01,-0.06,-9.20,2.93,-0.26,-0.13,0.14
262,9.14,-0.48,-3.83,-0.05,0.71,-0.14,-5.43,-5.83,8.94,0.01,-0.34,-0.30,0.90,-9.34,2.79,-0.27,-0.21,0.02,0.21,-9.44,1.38,-0.07,-0.27,0.00,-0.71,-9.12,2.89,-0.11,-0.10,-0.03,0.08,-9.15,2.69,-0.23,-0.18,0.11
282,9.18,-0.56,-3.40,-0.03,0.63,-0.09,-4.87,-5.71,9.00,0.05,-0.31,-0.23,1.21,-9.19,2.18,-0.25,-0.22,0.01,0.50,-9.30,0.91,-0.06,-0.23,-0.00,-0.45,-9.12,2.46,-0.08,-0.07,-0.03,0.25,-9.15,2.16,-0.17,-0.19,0.12
302,9.24,-0.55,-3.09,-0.04,0.47,-0.06,-4.59,-5.70,9.09,0.06,-0.21,-0.17,1.11,-9.16,1.83,-0.17,-0.18,0.02,0.35,-9.27,0.57,-0.01,-0.20,-0.01,-0.56,-9.11,2.13,-0.01,-0.07,-0.01,0.03,-9.12,2.04,-0.09,-0.23,0.13
323,9.31,-0.46,-2.83,-0.04,0.29,-0.02,-4.43,-5.83,9.20,0.06,-0.15,-0.08,0.92,-9.25,1.72,-0.10,-0.17,-0.00,0.20,-9.35,0.51,0.05,-0.19,-0.03,-0.71,-9.19,2.08,0.03,-0.03,-0.02,-0.13,-9.26,1.92,-0.05,-0.23,0.07
343,9.47,-0.35,-2.67,0.01,0.14,0.03,-4.44,-6.00,9.39,0.04,-0.13,0.02,0.88,-9.44,1.72,-0.04,-0.17,-0.03,0.13,-9.55,0.47,0.09,-0.18,-0.06,-0.81,-9.45,1.93,0.08,-0.06,-0.03,-0.19,-9.52,1.83,0.00,-0.26,0.03
363,9.68,-0.36,-2.64,0.09,0.03,0.05,-4.50,-6.16,9.52,0.02,-0.12,0.12,0.88,-9.66,1.69,-0.01,-0.21,-0.04,0.14,-9.76,0.44,0.13,-0.23,-0.07,-0.79,-9.66,1.99,0.17,-0.12,-0.05,-0.13,-9.69,2.02,0.09,-0.25,-0.01
383,9.81,-0.43,-2.71,0.14,-0.05,0.06,-4.61,-6.29,9.50,0.00,-0.11,0.19,1.04,-9.71,1.85,0.03,-0.22,-0.05,0.31,-9.76,0.76,0.14,-0.24,-0.08,-0.67,-9.65,2.35,0.23,-0.11,-0.05,-0.02,-9.69,2.33,0.15,-0.19,-0.02
404,9.76,-0.47,-2.80,0.13,-0.13,0.06,-4.76,-6.28,9.49,-0.01,-0.07,0.21,1.13,-9.66,2.18,0.02,-0.18,-0.06,0.35,-9.76,1.02,0.07,-0.25,-0.08,-0.69,-9.62,2.51,0.26,-0.11,-0.03,0.00,-9.68,2.43,0.19,-0.12,-0.02
424,9.67,-0.45,-2.93,0.09,-0.17,0.06,-4.98,-6.20,9.48,-0.01,-0.05,0.21,1.09,-9.63,2.53,-0.04,-0.20,-0.05,0.33,-9.76,1.34,-0.02,-0.34,-0.07,-0.75,-9.52,2.88,0.25,-0.16,-0.02,0.02,-9.61,2.67,0.21,-0.15,-0.01
444,9.56,-0.42,-3.14,0.09,-0.14,0.05,-5.20,-6.16,9.40,-0.02,-0.07,0.20,1.18,-9.65,2.63,-0.11,-0.21,-0.04,0.44,-9.82,1.45,-0.07,-0.34,-0.05,-0.67,-9.51,3.07,0.21,-0.19,-0.01,0.09,-9.58,2.90,0.19,-0.18,0.01
464,9.53,-0.53,-3.31,0.09,-0.09,0.03,-5.29,-6.03,9.39,-0.02,-0.09,0.17,1.28,-9.61,2.81,-0.14,-0.19,-0.02,0.53,-9.76,1.67,-0.12,-0.35,-0.03,-0.63,-9.45,3.29,0.18,-0.19,-0.00,0.15,-9.48,3.17,0.19,-0.15,0.00
484,9.47,-0.64,-3.51,0.07,-0.06,0.03,-5.51,-5.85,9.45,-0.04,-0.10,0.17,1.31,-9.61,3.24,-0.24,-0.22,-0.02,0.56,-9.80,2.04,-0.24,-0.42,-0.02,-0.58,-9.41,3.70,0.13,-0.21,-0.03,0.25,-9.45,3.51,0.16,-0.12,-0.03
505,9.47,-0.77,-3.79,0.07,-0.01,0.05,-5.77,-5.78,9.42,-0.04,-0.11,0.17,1.55,-9.71,2.96,-0.31,-0.22,-0.02,0.85,-9.93,1.80,-0.27,-0.33,-0.01,-0.32,-9.53,3.76,0.09,-0.14,-0.05,0.47,-9.51,3.71,0.14,-0.04,-0.05
525,9.54,-0.88,-3.99,0.07,-0.00,0.04,-5.85,-5.72,9.39,-0.04,-0.09,0.15,1.69,-9.77,2.82,-0.26,-0.14,0.01,0.94,-9.99,1.68,-0.21,-0.16,0.01,-0.27,-9.54,3.79,0.09,-0.02,-0.04,0.47,-9.45,3.80,0.11,-0.00,-0.03
545,9.47,-0.88,-4.08,0.02,-0.03,0.03,-5.94,-5.71,9.29,-0.03,-0.05,0.12,1.55,-9.71,2.93,-0.15,-0.08,0.02,0.77,-9.90,1.74,-0.10,-0.04,0.02,-0.43,-9.42,3.72,0.13,0.03,-0.03,0.31,-9.34,3.63,0.10,0.01,-0.03
565,9.38,-0.78,-4.00,-0.01,-0.04,0.03,-5.87,-5.71,9.22,-0.00,-0.03,0.12,1.45,-9.60,2.96,-0.11,0.00,0.00,0.66,-9.72,1.61,-0.03,0.08,0.03,-0.64,-9.28,3.54,0.17,0.05,-0.05,-0.06,-9.25,3.24,0.18,0.02,-0.10
585,9.34,-0.64,-3.79,-0.02,-0.05,0.05,-5.63,-5.76,9.19,0.02,-0.04,0.14,1.16,-9.56,2.74,-0.14,0.07,0.02,0.48,-9.67,1.70,-0.03,0.21,-0.02,-0.71,-9.23,3.54,0.21,0.15,-0.08,-0.06,-9.22,3.32,0.36,0.17,-0.23
606,9.36,-0.50,-3.59,-0.04,-0.06,0.09,-5.49,-5.95,9.16,0.04,-0.06,0.15,1.22,-9.55,2.56,-0.12,0.05,0.03,0.54,-9.74,1.42,-0.04,0.21,0.00,-0.65,-9.38,3.29,0.20,0.19,-0.09,0.25,-9.38,3.39,0.28,0.10,-0.21
626,9.44,-0.40,-3.43,-0.06,-0.05,0.10,-5.36,-6.01,9.28,0.05,-0.07,0.12,1.19,-9.64,2.38,-0.09,0.04,0.07,0.42,-9.86,1.15,-0.00,0.20,0.06,-0.64,-9.56,3.07,0.18,0.19,-0.06,0.21,-9.49,3.40,0.20,0.11,-0.11
646,9.59,-0.44,-3.25,-0.06,-0.03,0.06,-5.17,-6.14,9.37,0.04,-0.04,0.06,0.97,-9.75,2.09,-0.06,0.04,0.09,0.22,-9.89,0.86,0.04,0.18,0.09,-0.74,-9.60,2.81,0.18,0.19,-0.02,0.06,-9.51,3.15,0.10,0.12,-0.06
666,9.62,-0.40,-3.06,-0.07,-0.03,0.03,-4.98,-6.14,9.45,0.02,-0.02,0.02,0.87,-9.71,1.97,-0.04,0.06,0.07,0.11,-9.78,0.82,0.05,0.18,0.09,-0.81,-9.48,2.76,0.17,0.20,-0.00,-0.15,-9.40,2.97,0.02,0.13,-0.07
687,9.58,-0.45,-2.90,-0.10,-0.04,0.03,-4.80,-6.14,9.42,0.01,0.01,0.02,1.08,-9.62,1.71,-0.02,0.15,0.09,0.38,-9.65,0.72,-0.01,0.38,0.07,-0.90,-9.35,2.61,0.17,0.26,-0.02,-0.12,-9.27,2.89,-0.01,0.16,-0.15
707,9.52,-0.44,-2.88,-0.11,-0.06,0.05,-4.81,-6.01,9.45,0.02,0.02,0.05,1.17,-9.51,1.72,0.02,0.29,0.13,0.38,-9.61,0.58,-0.05,0.59,0.11,-0.63,-9.36,2.61,0.17,0.28,-0.04,0.24,-9.34,2.76,-0.04,0.14,-0.16
728,9.46,-0.54,-2.99,-0.09,-0.08,0.06,-4.90,-5.84,9.45,0.00,0.02,0.07,0.94,-9.49,1.97,0.05,0.27,0.15,0.14,-9.61,0.65,-0.01,0.51,0.11,-0.41,-9.36,2.73,0.18,0.27,-0.01,0.39,-9.33,2.84,-0.05,0.13,-0.15
748,9.44,-0.62,-3.20,-0.06,-0.12,0.06,-5.06,-5.74,9.46,0.00,0.05,0.09,0.84,-9.56,2.22,0.07,0.20,0.10,0.04,-9.68,0.83,0.05,0.36,0.07,-0.51,-9.38,2.92,0.19,0.25,0.03,0.50,-9.35,3.00,-0.05,0.12,-0.10
769,9.46,-0.71,-3.47,-0.04,-0.16,0.06,-5.26,-5.68,9.44,0.01,0.10,0.10,0.86,-9.62,2.54,0.09,0.13,0.04,0.03,-9.72,1.26,0.09,0.27,0.01,-0.59,-9.30,3.42,0.18,0.25,0.03,0.40,-9.18,3.72,-0.08,0.14,-0.08
789,9.39,-0.79,-3.75,-0.02,-0.20,0.06,-5.58,-5.61,9.41,0.00,0.14,0.11,0.78,-9.67,3.04,0.06,0.11,-0.03,0.05,-9.76,1.80,0.04,0.31,-0.07,-0.76,-9.23,3.84,0.09,0.33,-0.03,0.48,-9.14,4.03,-0.27,0.17,-0.10
809,9.34,-0.82,-4.10,-0.03,-0.21,0.11,-6.05,-5.55,9.33,0.00,0.14,0.13,1.05,-9.73,3.13,0.06,0.01,-0.08,0.31,-9.86,1.84,0.04,0.20,-0.05,-0.58,-9.33,3.80,0.01,0.32,-0.06,0.96,-9.42,3.53,-0.33,0.12,-0.02
