timestamp,a0x,a0y,a0z,g0x,g0y,g0z,a1x,a1y,a1z,g1x,g1y,g1z,a2x,a2y,a2z,g2x,g2y,g2z,a3x,a3y,a3z,g3x,g3y,g3z,a4x,a4y,a4z,g4x,g4y,g4z,a5x,a5y,a5z,g5x,g5y,g5z
0,9.07,1.05,-4.60,0.34,-0.59,0.07,-6.87,-3.38,-2.01,-0.10,-0.16,0.02,-0.71,-0.34,10.81,-0.01,-0.13,0.17,-1.83,2.41,9.45,0.01,-0.04,0.14,-0.14,3.50,9.47,0.12,-0.04,0.18,0.33,-0.91,9.49,0.01,-0.18,0.17
20,8.89,1.11,-4.80,0.46,-0.55,0.12,-7.07,-3.27,-2.09,-0.19,-0.29,-0.05,-0.73,-0.05,10.89,0.01,-0.19,0.32,-1.92,2.70,9.41,-0.00,-0.05,0.30,-0.19,3.79,9.41,0.11,-0.05,0.37,0.38,-0.53,9.67,0.02,-0.27,0.33
41,8.70,0.94,-4.98,0.59,-0.45,0.12,-6.79,-3.23,-2.43,-0.23,-0.36,-0.15,-0.80,0.08,10.91,0.01,-0.23,0.38,-2.08,2.94,9.41,-0.02,-0.06,0.37,-0.27,4.18,9.41,0.11,-0.04,0.40,0.35,-0.10,9.88,0.01,-0.26,0.35
61,8.66,0.68,-5.11,0.53,-0.29,0.09,-6.46,-3.17,-2.69,-0.19,-0.30,-0.15,-0.90,0.10,10.87,-0.00,-0.19,0.30,-2.22,3.01,9.38,-0.00,-0.05,0.29,-0.35,4.37,9.38,0.11,-0.01,0.29,0.34,0.14,9.98,0.01,-0.17,0.24
81,8.64,0.58,-5.23,0.33,-0.14,0.07,-6.46,-3.09,-2.75,-0.11,-0.18,-0.08,-0.89,0.25,10.92,-0.02,-0.12,0.15,-2.24,3.19,9.40,0.01,-0.03,0.15,-0.31,4.54,9.39,0.12,0.02,0.14,0.45,0.22,10.05,0.01,-0.07,0.12
101,8.64,0.54,-5.32,0.07,0.01,0.02,-6.72,-3.05,-2.64,-0.03,-0.07,-0.03,-0.78,0.41,11.03,-0.05,-0.07,0.03,-2.09,3.31,9.46,0.02,-0.02,0.05,-0.09,4.50,9.41,0.12,0.06,0.04,0.65,0.08,10.01,-0.00,0.02,0.05
121,8.61,0.51,-5.32,-0.18,0.21,-0.03,-6.94,-3.08,-2.45,0.02,0.02,-0.03,-0.54,0.45,11.04,-0.08,-0.04,-0.03,-1.80,3.30,9.51,0.02,-0.00,0.03,0.15,4.43,9.45,0.12,0.12,0.01,0.79,-0.06,9.99,-0.00,0.09,0.02
141,8.57,0.48,-5.25,-0.36,0.45,-0.10,-6.97,-3.12,-2.26,0.04,0.10,-0.06,-0.37,0.31,10.96,-0.13,-0.01,-0.03,-1.61,3.14,9.47,0.00,0.03,0.02,0.24,4.20,9.40,0.10,0.17,-0.01,0.81,-0.26,9.80,0.00,0.13,-0.00
161,8.65,0.52,-5.10,-0.43,0.63,-0.15,-6.92,-3.16,-2.09,0.04,0.15,-0.07,-0.35,0.05,10.81,-0.12,0.01,-0.02,-1.59,2.84,9.37,0.02,0.07,0.02,0.15,3.90,9.32,0.12,0.21,-0.05,0.60,-0.49,9.59,0.03,0.16,-0.00
181,8.79,0.63,-4.84,-0.42,0.61,-0.16,-6.79,-3.19,-1.95,0.02,0.14,-0.06,-0.53,-0.25,10.63,-0.08,-0.00,0.02,-1.70,2.46,9.25,0.05,0.08,0.02,-0.05,3.52,9.22,0.15,0.21,-0.06,0.43,-0.67,9.34,0.08,0.15,-0.03
