timestamp,a0x,a0y,a0z,g0x,g0y,g0z,a1x,a1y,a1z,g1x,g1y,g1z,a2x,a2y,a2z,g2x,g2y,g2z,a3x,a3y,a3z,g3x,g3y,g3z,a4x,a4y,a4z,g4x,g4y,g4z,a5x,a5y,a5z,g5x,g5y,g5z
0,8.55,0.05,-4.62,0.13,-0.09,0.05,-7.12,-3.54,-0.85,0.07,-0.09,-0.06,1.15,0.54,10.56,-0.12,-0.14,0.03,-0.12,3.18,9.31,-0.04,-0.08,0.01,1.80,3.45,9.38,0.05,0.04,-0.02,2.15,-1.24,9.45,-0.06,-0.05,0.02
20,8.71,-0.09,-4.66,0.07,-0.04,-0.03,-7.14,-3.58,-0.84,0.03,-0.00,-0.07,1.35,0.49,10.70,-0.14,-0.04,0.03,-0.03,3.27,9.53,-0.06,0.01,-0.02,1.86,3.56,9.59,0.05,0.12,-0.05,2.20,-1.23,9.65,-0.05,0.06,0.02
40,8.92,-0.08,-4.92,-0.03,0.02,-0.10,-7.49,-3.60,-0.97,0.00,0.10,-0.06,1.25,0.61,11.01,-0.15,0.06,0.03,-0.21,3.42,9.74,-0.08,0.09,-0.03,1.71,3.75,9.78,0.05,0.17,-0.05,2.07,-1.07,9.90,-0.04,0.14,0.03
60,9.09,0.02,-5.24,-0.05,0.03,-0.14,-7.84,-3.57,-1.10,-0.03,0.14,-0.06,0.97,0.71,11.23,-0.14,0.11,0.03,-0.53,3.53,9.79,-0.08,0.12,-0.04,1.47,3.90,9.77,0.05,0.19,-0.06,1.90,-0.89,9.92,-0.03,0.15,0.03
80,9.10,0.06,-5.42,-0.03,0.02,-0.14,-8.03,-3.50,-1.14,-0.04,0.13,-0.05,0.76,0.86,11.27,-0.13,0.09,0.03,-0.74,3.65,9.71,-0.07,0.11,-0.03,1.32,4.04,9.66,0.05,0.17,-0.05,1.81,-0.75,9.82,-0.04,0.12,0.02
100,8.99,0.02,-5.43,0.01,0.03,-0.10,-8.03,-3.48,-1.12,-0.02,0.08,-0.04,0.62,0.87,11.19,-0.13,0.03,0.03,-0.84,3.58,9.56,-0.05,0.04,-0.00,1.22,3.94,9.48,0.06,0.10,-0.02,1.74,-0.78,9.60,-0.05,0.05,0.00
120,8.87,-0.05,-5.24,0.01,0.06,-0.02,-7.87,-3.48,-0.95,0.02,0.02,-0.01,0.71,0.76,10.96,-0.11,-0.05,0.02,-0.68,3.42,9.39,-0.02,-0.03,0.02,1.35,3.74,9.31,0.07,0.01,0.01,1.84,-0.90,9.40,-0.04,-0.02,-0.01
140,8.74,-0.08,-5.04,-0.02,0.11,0.07,-7.66,-3.46,-0.80,0.04,-0.03,0.01,0.89,0.66,10.79,-0.08,-0.11,0.01,-0.46,3.34,9.33,0.01,-0.08,0.04,1.54,3.65,9.28,0.08,-0.04,0.04,2.00,-0.97,9.38,-0.03,-0.06,-0.02
161,8.71,-0.13,-4.94,-0.09,0.15,0.13,-7.62,-3.45,-0.72,0.04,-0.05,0.02,1.08,0.71,10.75,-0.06,-0.13,0.01,-0.29,3.42,9.36,0.02,-0.09,0.05,1.69,3.70,9.33,0.09,-0.05,0.05,2.11,-0.97,9.45,-0.01,-0.06,-0.02
181,8.73,-0.11,-4.90,-0.15,0.19,0.15,-7.65,-3.38,-0.71,0.03,-0.06,0.02,1.12,0.76,10.76,-0.05,-0.13,0.02,-0.26,3.42,9.39,0.03,-0.08,0.06,1.70,3.70,9.37,0.11,-0.05,0.05,2.04,-0.97,9.49,-0.00,-0.05,-0.01
201,8.79,0.02,-5.09,-0.18,0.22,0.14,-7.62,-3.25,-0.87,0.01,-0.06,0.03,0.94,0.67,10.78,-0.02,-0.11,0.03,-0.50,3.30,9.37,0.07,-0.05,0.07,1.38,3.67,9.38,0.15,-0.04,0.06,1.71,-0.88,9.50,0.05,-0.05,-0.01
221,8.85,0.28,-5.19,-0.12,0.16,0.14,-7.67,-3.18,-1.12,-0.02,-0.09,0.08,0.57,0.81,10.85,0.05,-0.13,0.04,-0.87,3.48,9.33,0.12,-0.06,0.08,1.11,3.95,9.32,0.20,-0.06,0.06,1.52,-0.61,9.56,0.08,-0.10,-0.01
