timestamp,a0x,a0y,a0z,g0x,g0y,g0z,a1x,a1y,a1z,g1x,g1y,g1z,a2x,a2y,a2z,g2x,g2y,g2z,a3x,a3y,a3z,g3x,g3y,g3z,a4x,a4y,a4z,g4x,g4y,g4z,a5x,a5y,a5z,g5x,g5y,g5z
0,8.50,2.50,-4.90,0.14,-0.37,-0.09,-5.89,-3.13,-3.33,-0.06,-0.08,0.04,-2.23,0.09,10.48,0.01,-0.03,0.03,-3.55,2.11,8.91,0.09,-0.01,-0.02,-1.19,3.11,9.44,0.20,0.13,-0.17,-1.09,-1.28,9.32,0.11,0.01,-0.04
20,8.48,2.10,-4.60,0.31,-0.48,-0.11,-5.52,-3.24,-3.10,-0.05,-0.11,0.00,-1.72,-0.18,10.29,-0.01,-0.03,0.01,-3.01,1.88,8.92,0.08,-0.01,-0.05,-0.80,2.74,9.45,0.21,0.15,-0.20,-0.79,-1.60,9.30,0.13,0.04,-0.04
40,8.55,1.93,-4.35,0.26,-0.40,-0.14,-5.26,-3.45,-3.28,-0.04,-0.02,0.02,-1.69,-0.41,10.42,0.01,0.03,-0.01,-3.09,1.73,9.18,0.10,0.05,-0.09,-1.01,2.65,9.75,0.22,0.19,-0.22,-1.01,-1.76,9.51,0.15,0.11,-0.05
60,8.94,2.05,-4.46,0.10,-0.26,-0.11,-5.54,-3.69,-3.66,-0.01,0.08,0.09,-2.16,-0.43,10.90,0.04,0.07,-0.05,-3.68,1.78,9.53,0.12,0.07,-0.10,-1.51,2.85,10.10,0.23,0.14,-0.19,-1.43,-1.66,9.88,0.14,0.10,-0.08
80,9.25,2.27,-4.78,-0.00,-0.12,-0.02,-6.05,-3.91,-4.02,0.07,0.09,0.14,-2.61,-0.19,11.42,0.03,-0.00,-0.06,-4.15,2.05,9.81,0.11,-0.01,-0.08,-1.76,3.15,10.34,0.17,0.01,-0.11,-1.54,-1.53,10.10,0.05,-0.02,-0.09
100,9.33,2.30,-4.94,-0.03,0.03,0.12,-6.43,-3.97,-4.03,0.17,0.03,0.12,-2.61,-0.01,11.59,-0.03,-0.14,-0.05,-4.12,2.23,9.88,0.05,-0.14,-0.01,-1.62,3.27,10.34,0.09,-0.15,0.01,-1.37,-1.49,10.12,-0.06,-0.17,-0.08
121,9.27,2.12,-4.88,-0.03,0.22,0.25,-6.35,-4.04,-3.93,0.28,-0.04,0.07,-2.34,-0.04,11.46,-0.11,-0.28,-0.04,-3.81,2.19,9.82,-0.01,-0.26,0.04,-1.34,3.16,10.25,0.00,-0.28,0.11,-1.11,-1.57,10.01,-0.16,-0.29,-0.09
141,9.15,1.95,-4.74,-0.07,0.39,0.34,-6.19,-3.90,-3.57,0.39,-0.09,0.06,-1.95,-0.15,11.21,-0.17,-0.36,-0.05,-3.36,2.07,9.68,-0.06,-0.34,0.06,-0.95,2.99,10.10,-0.05,-0.35,0.15,-0.83,-1.64,9.85,-0.22,-0.34,-0.09
161,9.02,1.79,-4.57,-0.10,0.47,0.38,-5.93,-3.84,-3.31,0.45,-0.09,0.06,-1.68,-0.29,10.95,-0.21,-0.38,-0.07,-3.07,1.98,9.53,-0.08,-0.37,0.04,-0.74,2.85,9.97,-0.08,-0.37,0.12,-0.74,-1.72,9.70,-0.23,-0.31,-0.12
181,9.00,1.76,-4.37,-0.12,0.51,0.37,-5.75,-3.75,-3.01,0.44,-0.07,0.06,-1.50,-0.47,10.65,-0.23,-0.37,-0.10,-2.82,1.76,9.34,-0.09,-0.36,-0.00,-0.60,2.58,9.77,-0.08,-0.33,0.06,-0.66,-1.86,9.40,-0.23,-0.26,-0.15
202,8.91,1.70,-4.06,-0.12,0.44,0.34,-5.42,-3.90,-2.91,0.44,-0.03,0.05,-1.41,-0.67,10.37,-0.23,-0.33,-0.13,-2.70,1.53,9.14,-0.08,-0.35,-0.05,-0.59,2.33,9.56,-0.07,-0.29,-0.00,-0.68,-2.01,9.07,-0.21,-0.21,-0.18
222,8.76,1.63,-3.65,-0.17,0.35,0.32,-5.17,-4.07,-2.80,0.49,0.01,0.08,-1.44,-0.91,10.13,-0.23,-0.32,-0.17,-2.66,1.22,8.95,-0.07,-0.35,-0.09,-0.59,1.98,9.36,-0.06,-0.29,-0.06,-0.67,-2.24,8.73,-0.19,-0.19,-0.22
242,8.73,1.60,-3.44,-0.21,0.29,0.32,-5.26,-3.78,-2.09,0.48,-0.02,0.12,-1.19,-1.07,9.93,-0.20,-0.32,-0.18,-2.27,0.99,8.85,-0.04,-0.36,-0.08,-0.28,1.70,9.26,-0.01,-0.28,-0.06,-0.40,-2.46,8.59,-0.13,-0.19,-0.21
262,8.74,1.48,-3.43,-0.20,0.19,0.30,-5.16,-3.84,-2.08,0.36,-0.07,0.12,-0.82,-1.18,9.84,-0.13,-0.28,-0.16,-1.93,1.01,8.95,0.03,-0.30,-0.08,0.03,1.75,9.42,0.07,-0.21,-0.09,-0.20,-2.47,8.85,-0.04,-0.11,-0.21
282,8.83,1.37,-3.44,-0.19,0.11,0.23,-5.08,-3.99,-2.33,0.26,-0.02,0.17,-0.71,-1.16,10.07,-0.05,-0.17,-0.16,-1.90,1.14,9.23,0.09,-0.19,-0.12,0.09,1.89,9.72,0.15,-0.09,-0.17,-0.18,-2.50,9.21,0.06,0.01,-0.23
303,9.18,1.38,-3.59,-0.23,0.03,0.14,-5.44,-4.15,-2.58,0.21,0.07,0.24,-0.82,-1.11,10.53,0.02,-0.06,-0.17,-2.08,1.31,9.63,0.14,-0.08,-0.16,0.02,2.06,10.09,0.21,0.01,-0.24,-0.20,-2.53,9.55,0.12,0.09,-0.23
323,9.56,1.45,-3.85,-0.24,-0.05,0.08,-6.00,-4.25,-2.74,0.15,0.11,0.28,-0.97,-0.91,11.07,0.07,-0.01,-0.15,-2.32,1.59,9.99,0.17,-0.02,-0.14,-0.09,2.36,10.40,0.24,0.04,-0.22,-0.23,-2.41,9.88,0.15,0.08,-0.19
343,9.80,1.39,-4.14,-0.17,-0.12,0.07,-6.56,-4.35,-2.85,0.12,0.08,0.28,-1.05,-0.58,11.44,0.08,-0.03,-0.10,-2.45,1.95,10.15,0.17,-0.03,-0.08,-0.03,2.68,10.47,0.24,0.01,-0.15,-0.09,-2.20,10.02,0.14,0.01,-0.14
363,9.71,1.27,-4.28,-0.08,-0.12,0.09,-6.86,-4.27,-2.69,0.09,0.00,0.22,-0.90,-0.27,11.46,0.05,-0.08,-0.03,-2.29,2.26,10.08,0.13,-0.06,0.00,0.18,2.88,10.36,0.21,-0.02,-0.05,0.10,-2.03,10.00,0.10,-0.04,-0.06
383,9.44,1.18,-4.24,-0.00,-0.08,0.09,-6.55,-4.23,-2.71,0.08,-0.03,0.12,-0.73,-0.23,11.22,-0.01,-0.10,0.03,-2.13,2.23,9.88,0.07,-0.07,0.07,0.22,2.82,10.18,0.17,0.00,0.02,0.06,-2.01,9.82,0.06,-0.02,-0.01
404,9.30,1.20,-4.09,0.02,-0.02,0.05,-6.12,-4.17,-2.73,0.11,0.01,0.08,-0.83,-0.55,10.89,-0.03,-0.07,0.06,-2.19,1.81,9.66,0.05,-0.04,0.08,-0.02,2.47,10.00,0.17,0.05,0.03,-0.23,-2.16,9.53,0.07,0.01,0.02
424,9.29,1.38,-3.94,0.02,-0.01,0.01,-5.88,-3.99,-2.59,0.09,0.04,0.09,-1.07,-0.82,10.64,-0.00,-0.05,0.08,-2.36,1.48,9.44,0.08,-0.00,0.09,-0.30,2.28,9.80,0.22,0.08,0.01,-0.48,-2.14,9.26,0.12,0.02,0.02
444,9.17,1.54,-3.90,0.05,-0.06,-0.01,-5.73,-3.84,-2.58,0.03,0.02,0.11,-1.25,-0.67,10.49,0.05,-0.04,0.09,-2.50,1.63,9.23,0.13,0.02,0.10,-0.42,2.48,9.62,0.25,0.07,0.03,-0.56,-1.85,9.23,0.16,0.00,0.04
464,8.87,1.68,-3.91,0.06,-0.10,-0.03,-5.61,-3.76,-2.71,-0.01,0.01,0.12,-1.40,-0.37,10.44,0.06,-0.02,0.09,-2.72,1.95,9.16,0.12,0.06,0.07,-0.60,2.84,9.57,0.23,0.09,0.01,-0.73,-1.55,9.34,0.13,0.03,0.04
484,8.70,1.84,-3.90,0.04,-0.08,-0.05,-5.60,-3.82,-2.96,-0.00,0.01,0.06,-1.73,-0.17,10.51,0.01,0.00,0.07,-3.12,2.02,9.08,0.06,0.05,0.04,-0.99,2.89,9.48,0.16,0.07,0.01,-1.07,-1.46,9.18,0.05,0.01,0.03
